Index,Parcel List
457,19-04-20-0-000-051.016
458,19-04-20-0-000-051.017
459,19-04-20-0-000-051.018
460,19-04-20-0-000-051.019
461,19-04-20-0-000-052.000
462,19-04-20-0-000-052.001
463,19-04-20-0-000-053.000
464,19-04-20-0-000-054.000
465,19-04-20-0-000-055.000
466,19-04-20-0-000-056.000
467,19-04-20-0-000-057.000
468,19-04-20-0-000-057.001
469,19-04-20-0-000-058.000
470,19-04-20-0-000-059.000
471,19-04-20-0-000-060.000
472,19-04-20-0-000-061.000
473,19-04-20-0-000-062.000
474,19-04-20-0-000-062.001
475,19-04-20-0-000-063.000
476,19-04-20-0-000-063.001
477,19-04-20-0-000-064.000
478,19-05-15-1-001-001.000
479,19-05-15-1-001-002.000
480,19-05-15-1-001-003.000
481,19-05-15-1-001-004.000
482,19-05-15-1-001-005.000
483,19-05-15-1-001-005.001
484,19-05-15-1-001-006.000
485,19-05-15-1-001-007.000
486,19-05-15-1-001-008.000
487,19-05-15-1-001-009.000
488,19-05-15-1-001-010.000
489,19-05-15-1-001-011.000
490,19-05-15-1-001-012.000
491,19-05-15-1-001-013.000
492,19-05-15-1-001-014.000
493,19-05-15-1-001-015.000
494,19-05-15-1-001-016.000
495,19-05-15-1-001-017.000
496,19-05-15-1-001-018.000
497,19-05-15-1-001-019.000
498,19-05-15-1-001-020.000
499,19-05-15-1-001-021.000
500,19-05-15-1-001-022.000
501,19-05-15-1-001-023.000
502,19-05-15-1-001-024.000
503,19-05-15-1-001-025.000
504,19-05-15-1-001-025.001
505,19-05-15-1-001-026.000
506,19-05-15-1-001-027.000
507,19-05-15-1-001-027.001
508,19-05-15-1-001-028.000
509,19-05-15-1-001-028.001
510,19-05-15-1-001-029.000
511,19-05-15-1-001-030.000
512,19-05-15-1-001-031.000
513,19-05-15-1-001-032.000
514,19-05-15-1-001-033.000
515,19-05-15-1-001-034.000
516,19-05-15-1-001-035.000
517,19-05-15-1-001-036.000
518,19-05-15-1-001-037.000
519,19-05-15-1-001-038.000
520,19-05-15-1-001-039.000
521,19-05-15-1-001-040.000
522,19-05-15-1-001-041.000
523,19-05-15-1-001-042.000
524,19-05-15-1-001-043.000
525,19-05-15-1-001-044.000
526,19-05-15-1-001-045.000
527,19-05-15-1-001-046.000
528,19-05-15-1-001-047.000
529,19-05-15-1-001-048.000
530,19-05-15-1-001-049.000
531,19-05-15-1-001-050.000
532,19-05-15-1-001-051.000
533,19-05-15-1-001-052.000
534,19-05-15-1-001-053.000
535,19-05-15-1-001-054.000
536,19-05-15-1-001-055.000
537,19-05-15-1-001-056.000
538,19-05-15-1-001-057.000
539,19-05-15-1-001-057.001
540,19-05-15-1-001-058.000
541,19-05-15-1-001-059.000
542,19-05-15-1-001-060.000
543,19-05-15-1-001-061.000
544,19-05-15-1-001-062.000
545,19-05-15-1-001-063.000
546,19-05-15-1-001-064.000
547,19-05-15-1-001-065.000
548,19-05-15-1-001-066.000
549,19-05-15-1-001-067.000
550,19-05-15-1-001-068.000
551,19-05-15-1-001-069.000
552,19-05-15-1-001-070.000
553,19-05-15-1-001-071.000
554,19-05-15-1-001-072.000
555,19-05-15-1-002-001.000
556,19-05-15-1-002-002.000
557,19-05-15-1-002-003.000
558,19-05-15-1-002-004.000
559,19-05-15-1-002-005.000
560,19-05-15-1-002-006.000
561,19-05-15-1-002-007.000
562,19-05-15-1-002-008.000
563,19-05-15-1-002-009.000
564,19-05-15-1-002-010.000
565,19-05-15-1-002-011.000
566,19-05-15-1-002-012.000
567,19-05-15-1-002-012.002
